Date,Gold,Silver,DXY,SP500,VIX,Oil,Treasury10Y,Euro
2005-01-03,428.70001220703125,6.4770002365112305,81.30000305175781,1202.0799560546875,14.079999923706055,42.119998931884766,4.21999979019165,1.3470009565353394
2005-01-04,428.5,6.427000045776367,82.56999969482422,1188.050048828125,13.979999542236328,43.90999984741211,4.2829999923706055,1.3281975984573364
2005-01-05,426.6000061035156,6.51200008392334,82.54000091552734,1183.739990234375,14.09000015258789,43.38999938964844,4.2769999504089355,1.3280036449432373
2005-01-06,421.0,6.433000087738037,83.1500015258789,1187.8900146484375,13.579999923706055,45.560001373291016,4.271999835968018,1.3183046579360962
2005-01-07,418.8999938964844,6.428999900817871,83.61000061035156,1186.18994140625,13.489999771118164,45.43000030517578,4.284999847412109,1.3060967922210693
2005-01-10,419.1000061035156,6.431000232696533,83.29000091552734,1190.25,13.229999542236328,45.33000183105469,4.2779998779296875,1.310994029045105
2005-01-11,421.8999938964844,6.623000144958496,83.0199966430664,1182.989990234375,13.1899995803833,45.68000030517578,4.24399995803833,1.3116990327835083
2005-01-12,426.1000061035156,6.728000164031982,82.13999938964844,1187.699951171875,12.5600004196167,46.369998931884766,4.236000061035156,1.3255919218063354
2005-01-13,424.5,6.730000019073486,82.51000213623047,1177.449951171875,12.84000015258789,48.040000915527344,4.186999797821045,1.3211086988449097
2005-01-14,422.70001220703125,6.579999923706055,83.05999755859375,1184.52001953125,12.430000305175781,48.380001068115234,4.216000080108643,1.3098949193954468
2005-01-18,423.20001220703125,6.639999866485596,83.36000061035156,1195.97998046875,12.470000267028809,48.380001068115234,4.195000171661377,1.3017951250076294
2005-01-19,423.0,6.610000133514404,83.5999984741211,1184.6300048828125,13.180000305175781,47.54999923706055,4.186999797821045,1.3003056049346924
2005-01-20,422.3999938964844,6.543000221252441,83.83999633789062,1175.4100341796875,13.829999923706055,46.90999984741211,4.164999961853027,1.29629385471344
2005-01-21,426.70001220703125,6.796999931335449,83.26000213623047,1167.8699951171875,14.359999656677246,48.529998779296875,4.142000198364258,1.299899935722351
2005-01-24,426.8999938964844,6.84499979019165,83.23999786376953,1163.75,14.649999618530273,48.810001373291016,4.122000217437744,1.3039000034332275
2005-01-25,422.0,6.670000076293945,83.98999786376953,1168.4100341796875,14.0600004196167,49.63999938964844,4.189000129699707,1.2971009016036987
